,wallet,总利润,盈亏比,最大盈利涨幅,最大回撤涨幅,
485,5yCPTSbxs789oBEMTGkVF69LtotorHDAXCUMguunevWR,1404.873517,279.8170652,0.823383014,-0.019956318,杀跟盘
390,3b2ndVW7rAS9FCQqKW6KFk9C2p14K5o1VeyvDm8oSNjP,1887.756598,276.4512215,1.351084984,-0.089561012,
483,7c2XVvSMLSZ8PkkCiZ6VGcBPe4GCGhY3RNA3Fm7NafMZ,18515.28536,274.8467529,7.061785254,-0.077746874,
2,3jzCeEVqNp4MTFQJyZxAetv1mpsZaPAjrLyBQTVL66rn,24305.5023,226.7340477,33.84578109,-0.156199912,
493,9N5bzoWXvbFWEgQL5mFDVQz9yZaZEN9rAJGcpNuJDoKP,2838.821225,201.5640695,1.914962288,-0.022908957,
67,GeZhXGwehksNfnCzncKUzkx5XAm8Nc3Dx1DqUuwaUiv5,18596.67802,166.4702291,100.4136791,-0.364436,
172,CfLbxk4MSKC3eLZDPgFTRKWB2P1wug3M6zfiUuGWmJVf,728.2479744,165.8467801,0.954153728,-0.009988342,
0,CGkWten8XMbTiM7dTdatwGgyxkJTqZnF1vAnKEAz2ZWS,34377.68196,158.6503865,108.5124233,-0.326036809,
171,5V5uZ6hrcuGdxu9KwCStaPZPZix1fvnGXpHTGCy9nMsV,2776.168988,133.3387784,3.525358576,-0.05062458,
441,4ZeVhhXTegPVBeJUEKbMNc6jDeZh8SmRaDLju2HRx3Sp,24588.11282,126.6084759,28.14766534,-0.246979057,
343,HZdLdUbcNJkBGmTYrQ1kZ29GL5AFvR9o3mjhQ9P7eGgj,17708.2417,106.7052854,20.94336434,-0.154057304,
244,GzRVZf7yqxvV746kTjxd41XGWhh5eD2zdAeJjPe2r2CG,61995.9613,102.1515864,86.78381298,-0.780891557,
138,5q8AaQ9trdagc7xDqWPTyovF18ZeKguE2hrVVtx9PGbp,4647.695529,98.35526559,4.191580997,-0.281767524,
206,881VThwLRkP5Wic3hLeSJgyWMhikQ3o9HUcfKq4ks7nZ,6986.786077,75.4050069,1.39461244,-0.061572496,
85,CNr4bekkx2KUK2yDPfv9dtKZXLnfvKFmgatKgCvs9AM1,6306.579681,71.16318343,14.61656893,-0.051387233,
65,D1fNp2Fp2sSMBhpdPb5W6nRjzTed8DdtVKjCaciAjzTZ,4992.496512,68.4758839,2.573230418,-0.201372321,
72,8jwXRHQH7jXnVcmLWMsSUidNcH8ydvpgcoX4DHZLhgwU,20883.23576,67.03883144,58.5008803,-0.731551685,
